value,count
-5680281600000,5
-5680368000000,12
-5680454400000,11
-5680540800000,5
-5680627200000,3
-5680886400000,16
-5680972800000,14
-5681059200000,7
-5681145600000,16
-5681232000000,1
-5681318400000,10
-5681404800000,28
-5681491200000,15
-5681577600000,9
-5681664000000,4
-5681750400000,11
-5681836800000,2
-5681923200000,16
-5682009600000,22
-5682096000000,7
-5682182400000,28
-5682268800000,1
-5682355200000,24
-5682441600000,3
-5682528000000,32
-5682614400000,22
-5682700800000,16
-5682787200000,30
-5682873600000,25
-5682960000000,19
-5683046400000,12
-5683132800000,19
-5683219200000,18
-5683305600000,13
-5683392000000,27
-5683478400000,15
-5683564800000,24
-5683737600000,16
-5683824000000,14
-5683910400000,19
-5683996800000,11
-5684083200000,15
-5684169600000,11
-5684256000000,2
-5684342400000,16
-5684428800000,15
-5684515200000,15
-5684601600000,23
-5684688000000,15
-5684774400000,20
-5684947200000,9
-5685033600000,18
-5685120000000,12
-5685206400000,8
-5685292800000,17
-5685379200000,17
-5685465600000,3
-5685552000000,35
-5685638400000,18
-5685724800000,21
-5685811200000,21
-5685897600000,15
-5685984000000,31
-5686070400000,5
-5686156800000,29
-5686243200000,24
-5686329600000,20
-5686416000000,21
-5686502400000,25
-5686588800000,17
-5686675200000,3
-5686761600000,29
-5686848000000,16
-5686934400000,31
-5687020800000,23
-5687107200000,11
-5687193600000,16
-5687280000000,1
-5687366400000,20
-5687452800000,17
-5687539200000,15
-5687625600000,13
-5687712000000,14
-5687798400000,23
-5687884800000,13
-5687971200000,35
-5688057600000,24
-5688144000000,43
-5688230400000,18
-5688316800000,35
-5688403200000,19
-5688489600000,5
-5688576000000,32
-5688662400000,22
-5688748800000,41
-5688835200000,32
-5688921600000,33
-5689008000000,49
-5689094400000,2
-5689180800000,23
-5689267200000,34
-5689353600000,36
-5689440000000,34
-5689526400000,27
-5689612800000,31
-5689699200000,5
-5689785600000,23
-5689872000000,22
-5689958400000,20
-5690044800000,34
-5690131200000,5
-5690217600000,45
-5690304000000,1
-5690390400000,27
-5690476800000,26
-5690563200000,26
-5690649600000,36
-5690736000000,34
-5690822400000,21
-5690908800000,1
-5690995200000,21
-5691081600000,27
-5691168000000,28
-5691254400000,38
-5691340800000,6
-5691427200000,43
-5691513600000,3
-5691600000000,56
-5691686400000,29
-5691772800000,25
-5691859200000,20
-5691945600000,30
-5692032000000,42
-5692118400000,2
-5692291200000,28
-5692377600000,22
-5692464000000,25
-5692550400000,25
-5692636800000,30
-5692723200000,1
-5692809600000,44
-5692896000000,44
-5692982400000,33
-5693068800000,28
-5693155200000,24
-5693241600000,31
-5693328000000,3
-5693414400000,27
-5693500800000,20
-5693587200000,23
-5693673600000,28
-5693760000000,21
-5693846400000,27
-5693932800000,1
-5694019200000,27
-5694105600000,35
-5694192000000,30
-5694278400000,23
-5694364800000,28
-5694451200000,27
-5694537600000,7
-5694624000000,23
-5694710400000,17
-5694796800000,21
-5694883200000,26
-5694969600000,25
-5695056000000,23
-5695142400000,5
-5695228800000,36
-5695315200000,22
-5695401600000,39
-5695488000000,53
-5695574400000,40
-5695660800000,34
-5695747200000,3
-5695833600000,31
-5695920000000,21
-5696006400000,25
-5696092800000,32
-5696179200000,8
-5696265600000,6
-5696352000000,3
-5696438400000,33
-5696524800000,37
-5696611200000,22
-5696784000000,35
-5696870400000,10
-5696956800000,3
-5697043200000,37
-5697129600000,20
-5697216000000,8
-5697302400000,28
-5697388800000,28
-5697475200000,21
-5697561600000,3
-5697648000000,24
-5697734400000,33
-5697820800000,1
-5697907200000,39
-5697993600000,25
-5698080000000,32
-5698166400000,2
-5698252800000,31
-5698339200000,13
-5698425600000,31
-5698512000000,26
-5698598400000,13
-5698684800000,3
-5698857600000,19
-5698944000000,22
-5699030400000,25
-5699116800000,37
-5699203200000,33
-5699289600000,13
-5699376000000,3
-5699462400000,46
-5699548800000,25
-5699635200000,1
-5699721600000,38
-5699808000000,13
-5699894400000,29
-5699980800000,2
-5700067200000,15
-5700153600000,27
-5700240000000,32
-5700326400000,25
-5700412800000,47
-5700499200000,33
-5700585600000,2
-5700672000000,53
-5700758400000,32
-5700844800000,29
-5700931200000,34
-5701017600000,36
-5701104000000,29
-5701190400000,3
-5701276800000,27
-5701363200000,45
-5701449600000,26
-5701536000000,24
-5701622400000,28
-5701708800000,31
-5701795200000,5
-5701881600000,23
-5701968000000,21
-5702054400000,32
-5702140800000,24
-5702227200000,23
-5702313600000,35
-5702486400000,19
-5702572800000,20
-5702659200000,27
-5702745600000,24
-5702832000000,1
-5703004800000,6
-5703091200000,39
-5703177600000,37
-5703264000000,17
-5703350400000,31
-5703436800000,16
-5703523200000,29
-5703609600000,2
-5703696000000,24
-5703782400000,17
-5703868800000,21
-5703955200000,34
-5704041600000,12
-5704128000000,26
-5704214400000,5
-5704300800000,23
-5704387200000,27
-5704473600000,24
-5704646400000,15
-5704732800000,15
-5704819200000,1
-5704905600000,19
-5704992000000,19
-5705078400000,17
-5705164800000,10
-5705251200000,14
-5705337600000,27
-5705424000000,3
-5705510400000,19
-5705596800000,26
-5705683200000,25
-5705769600000,30
-5705856000000,8
-5705942400000,17
-5706028800000,3
-5706115200000,22
-5706201600000,19
-5706288000000,10
-5706374400000,21
-5706460800000,9
-5706547200000,14
-5706633600000,3
-5706720000000,18
-5706806400000,24
-5706892800000,5
-5706979200000,4
-5707065600000,12
-5707152000000,24
-5707238400000,2
-5707324800000,25
-5707411200000,20
-5707497600000,20
-5707584000000,11
-5707670400000,26
-5707756800000,16
-5707843200000,1
-5707929600000,24
-5708016000000,35
-5708102400000,18
-5708188800000,15
-5708275200000,16
-5708361600000,18
-5708448000000,1
-5708534400000,29
-5708620800000,24
-5708707200000,19
-5708793600000,20
-5708880000000,8
-5708966400000,1
-5709052800000,2
-5709139200000,24
-5709225600000,24
-5709312000000,17
-5709398400000,12
-5709484800000,26
-5709571200000,17
-5709744000000,4
-5709830400000,4
-5709916800000,15
-5710003200000,26
-5710089600000,9
-5710176000000,5
-5710262400000,1
-5710348800000,9
-5710435200000,16
-5710521600000,6
-5710608000000,4
-5710694400000,3
-5710780800000,5
-5710953600000,2
-5711299200000,1
-5711385600000,4
-5711558400000,6
-5711644800000,1
-5711731200000,2
vide,6925